,subject,freq,components,time,classif,accuracy
10,136,"(4, 8)",5,"(0.5, 0.9)",MDM,0.6833333333333333
178,183,"(4, 8)",5,"(0.5, 0.9)",MDM,0.8111111111111111
90,196,"(1, 4)",5,"(0.5, 0.9)",MDM,0.7277777777777777
52,205,"(4, 8)",5,"(0.5, 0.9)",MDM,0.6722222222222223
89,207,"(8, 13)",5,"(0.5, 0.9)",MDM,0.6611111111111111
246,223,"(1, 4)",5,"(0.5, 0.9)",MDM,0.6611111111111111
151,228,"(1, 8)",5,"(0.5, 0.9)",MDM,0.6555555555555556
186,278,"(1, 4)",5,"(0.5, 0.9)",MDM,0.7055555555555556
96,295,"(1, 4)",5,"(0.5, 0.9)",MDM,0.6888888888888889
142,307,"(4, 8)",5,"(0.5, 0.9)",MDM,0.6388888888888888
228,312,"(1, 4)",5,"(0.5, 0.9)",MDM,0.6777777777777778
28,347,"(4, 8)",5,"(0.5, 0.9)",MDM,0.6611111111111111
17,358,"(8, 13)",5,"(0.5, 0.9)",MDM,0.6944444444444444
59,400,"(8, 13)",5,"(0.5, 0.9)",MDM,0.7055555555555556
106,402,"(4, 8)",5,"(0.5, 0.9)",MDM,0.6388888888888888
72,420,"(1, 4)",5,"(0.5, 0.9)",MDM,0.5944444444444444
202,441,"(4, 8)",5,"(0.5, 0.9)",MDM,0.7722222222222223
244,443,"(4, 8)",5,"(0.5, 0.9)",MDM,0.75
168,457,"(1, 4)",5,"(0.5, 0.9)",MDM,0.7222222222222222
132,482,"(1, 4)",5,"(0.5, 0.9)",MDM,0.6777777777777778
126,568,"(1, 4)",5,"(0.5, 0.9)",MDM,0.7611111111111111
166,640,"(4, 8)",5,"(0.5, 0.9)",MDM,0.6555555555555556
36,661,"(1, 4)",5,"(0.5, 0.9)",MDM,0.6111111111111112
216,689,"(1, 4)",5,"(0.5, 0.9)",MDM,0.7611111111111111
118,720,"(4, 8)",5,"(0.5, 0.9)",MDM,0.7777777777777778
108,722,"(1, 4)",5,"(0.5, 0.9)",MDM,0.6555555555555556
145,730,"(1, 8)",5,"(0.5, 0.9)",MDM,0.6166666666666667
196,732,"(4, 8)",5,"(0.5, 0.9)",MDM,0.7055555555555556
235,751,"(1, 8)",5,"(0.5, 0.9)",MDM,0.6444444444444445
210,755,"(1, 4)",5,"(0.5, 0.9)",MDM,0.6777777777777778
64,756,"(4, 8)",5,"(0.5, 0.9)",MDM,0.6277777777777778
181,759,"(1, 8)",5,"(0.5, 0.9)",MDM,0.6388888888888888
30,766,"(1, 4)",5,"(0.5, 0.9)",MDM,0.7388888888888889
160,785,"(4, 8)",5,"(0.5, 0.9)",MDM,0.5833333333333334
82,804,"(4, 8)",5,"(0.5, 0.9)",MDM,0.6944444444444444
222,877,"(1, 4)",5,"(0.5, 0.9)",MDM,0.6333333333333333
66,897,"(1, 4)",5,"(0.5, 0.9)",MDM,0.6722222222222223
22,916,"(4, 8)",5,"(0.5, 0.9)",MDM,0.65
208,930,"(4, 8)",5,"(0.5, 0.9)",MDM,0.6222222222222222
42,959,"(1, 4)",5,"(0.5, 0.9)",MDM,0.5888888888888889
124,966,"(4, 8)",5,"(0.5, 0.9)",MDM,0.5777777777777777
4,pilot3,"(4, 8)",5,"(0.5, 0.9)",MDM,0.7333333333333333
